Game_id,Team,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination,Year,Country,Match
17,SWZ,,,,,,8,,2006,Switzerland,Ukraine vs. Switzerland
17,UKR,,,,,,9,,2006,Ukraine,Ukraine vs. Switzerland
17,SWZ,,,,,,10,,2006,Switzerland,Ukraine vs. Switzerland
18,GER,6,R,R,1,1,1,0,2006,Germany,Germany vs. Argentina
18,ARG,1,R,L,1,1,2,0,2006,Argentina,Germany vs. Argentina
18,GER,4,R,C,1,1,3,0,2006,Germany,Germany vs. Argentina
18,ARG,9,R,R,1,0,4,0,2006,Argentina,Germany vs. Argentina
18,GER,9,L,L,1,1,5,0,2006,Germany,Germany vs. Argentina
18,ARG,7,R,L,1,1,6,0,2006,Argentina,Germany vs. Argentina
18,GER,9,R,L,1,1,7,0,2006,Germany,Germany vs. Argentina
18,ARG,9,L,R,1,0,8,1,2006,Argentina,Germany vs. Argentina
18,GER,,,,,,9,,2006,Germany,Germany vs. Argentina
18,ARG,,,,,,10,,2006,Argentina,Germany vs. Argentina
19,POR,7,R,L,1,1,1,0,2006,Portugal,Portugal vs. England
19,ENG,8,R,C,1,0,2,0,2006,England,Portugal vs. England
19,POR,4,L,R,0,0,3,0,2006,Portugal,Portugal vs. England
19,ENG,7,R,L,1,1,4,0,2006,England,Portugal vs. England
19,POR,7,R,L,0,0,5,0,2006,Portugal,Portugal vs. England
19,ENG,5,R,R,1,0,6,0,2006,England,Portugal vs. England
19,POR,4,R,C,1,1,7,0,2006,Portugal,Portugal vs. England
19,ENG,7,R,L,1,0,8,0,2006,England,Portugal vs. England
19,POR,6,R,L,1,1,9,1,2006,Portugal,Portugal vs. England
19,ENG,,,,,,10,,2006,England,Portugal vs. England
20,ITA,2,R,L,1,1,1,0,2006,Italy,Italy vs. France
20,FRA,9,R,L,1,1,2,0,2006,France,Italy vs. France
20,ITA,9,L,R,1,1,3,0,2006,Italy,Italy vs. France
20,FRA,1,R,R,0,0,4,0,2006,France,Italy vs. France
20,ITA,1,R,L,1,1,5,0,2006,Italy,Italy vs. France
20,FRA,7,L,R,1,1,6,0,2006,France,Italy vs. France
20,ITA,4,R,R,1,1,7,0,2006,Italy,Italy vs. France
20,FRA,3,R,L,1,1,8,0,2006,France,Italy vs. France
20,ITA,3,L,L,1,1,9,1,2006,Italy,Italy vs. France
20,FRA,,,,,,10,,2006,France,Italy vs. France
21,PAR,7,R,L,1,1,1,0,2010,Paraguay,Paraguay vs. Japan
21,JAP,6,R,L,1,1,2,0,2010,Japan,Paraguay vs. Japan
21,PAR,9,R,R,1,1,3,0,2010,Paraguay,Paraguay vs. Japan
21,JAP,4,R,L,1,1,4,0,2010,Japan,Paraguay vs. Japan
21,PAR,9,R,L,1,1,5,0,2010,Paraguay,Paraguay vs. Japan
21,JAP,1,R,L,0,0,6,0,2010,Japan,Paraguay vs. Japan
21,PAR,2,R,L,1,1,7,0,2010,Paraguay,Paraguay vs. Japan
21,JAP,8,L,R,1,1,8,1,2010,Japan,Paraguay vs. Japan
21,PAR,7,L,R,1,1,9,1,2010,Paraguay,Paraguay vs. Japan
21,JAP,,,,,,10,,2010,Japan,Paraguay vs. Japan
22,URU,6,R,L,1,1,1,0,2010,Uruguay,Uruguay vs. Ghana
22,GHA,3,R,R,1,1,2,0,2010,Ghana,Uruguay vs. Ghana
22,URU,1,R,L,1,1,3,0,2010,Uruguay,Uruguay vs. Ghana
22,GHA,1,R,L,1,1,4,0,2010,Ghana,Uruguay vs. Ghana
22,URU,8,R,C,1,1,5,0,2010,Uruguay,Uruguay vs. Ghana
22,GHA,8,R,R,1,0,6,0,2010,Ghana,Uruguay vs. Ghana
22,URU,2,R,L,0,0,7,0,2010,Uruguay,Uruguay vs. Ghana
22,GHA,9,R,R,1,0,8,0,2010,Ghana,Uruguay vs. Ghana
22,URU,5,L,L,1,1,9,1,2010,Uruguay,Uruguay vs. Ghana
22,GHA,,,,,,10,,2010,Ghana,Uruguay vs. Ghana
23,BRA,4,R,R,1,1,1,0,2014,Brazil,Brazil vs. Chile
23,CHI,5,R,C,1,0,2,0,2014,Chile,Brazil vs. Chile
23,BRA,7,R,C,0,0,3,0,2014,Brazil,Brazil vs. Chile
23,CHI,7,R,L,1,0,4,0,2014,Chile,Brazil vs. Chile
23,BRA,6,L,R,1,1,5,0,2014,Brazil,Brazil vs. Chile
23,CHI,3,R,C,1,1,6,0,2014,Chile,Brazil vs. Chile
23,BRA,8,L,R,1,0,7,0,2014,Brazil,Brazil vs. Chile
23,CHI,8,R,R,1,1,8,0,2014,Chile,Brazil vs. Chile
23,BRA,7,R,C,1,1,9,0,2014,Brazil,Brazil vs. Chile
23,CHI,6,R,R,0,0,10,1,2014,Chile,Brazil vs. Chile
24,CRA,2,R,L,1,1,1,0,2014,Costa Rica,Costa Rica vs. Greece
24,GRE,4,L,C,1,1,2,0,2014,Greece,Costa Rica vs. Greece
24,CRA,3,L,L,1,1,3,0,2014,Costa Rica,Costa Rica vs. Greece
24,GRE,9,R,L,1,1,4,0,2014,Greece,Costa Rica vs. Greece
24,CRA,5,R,L,1,1,5,0,2014,Costa Rica,Costa Rica vs. Greece
24,GRE,3,L,R,1,1,6,0,2014,Greece,Costa Rica vs. Greece
